tick,house_total,seeker_total
459,31910,200
460,31982,200
461,32064,200
462,32134,200
463,32202,200
464,32277,200
465,32344,200
466,32412,200
467,32480,200
468,32556,200
469,32622,200
470,32697,200
471,32764,200
472,32821,200
473,32881,200
474,32939,200
475,33019,200
476,33064,200
477,33133,200
478,33208,200
479,33282,200
480,33362,200
481,33417,200
482,33471,200
483,33530,200
484,33595,200
485,33667,200
486,33722,200
487,33792,200
488,33857,200
489,33920,200
490,33991,200
491,34037,200
492,34118,200
493,34191,200
494,34253,200
495,34318,200
496,34397,200
497,34462,200
498,34531,200
499,34598,200
500,34671,200
501,34723,200
502,34786,200
503,34846,200
504,34924,200
505,34992,200
506,35065,200
507,35132,200
508,35194,200
509,35272,200
510,35344,200
511,35406,200
512,35484,200
513,35544,200
514,35623,200
515,35690,200
516,35755,200
517,35819,200
518,35894,200
519,35964,200
520,36038,200
521,36098,200
522,36177,200
523,36236,200
524,36288,200
525,36339,200
526,36406,200
527,36475,200
528,36533,200
529,36602,200
530,36669,200
531,36736,200
532,36802,200
533,36885,200
534,36958,200
535,37029,200
536,37105,200
537,37173,200
538,37242,200
539,37319,200
540,37384,200
541,37449,200
542,37531,200
543,37603,200
544,37673,200
545,37735,200
546,37815,200
547,37885,200
548,37946,200
549,38024,200
550,38100,200
551,38164,200
552,38232,200
553,38300,200
554,38374,200
555,38440,200
556,38499,200
557,38561,200
558,38647,200
559,38720,200
560,38793,200
561,38867,200
562,38952,200
563,39028,200
564,39085,200
565,39156,200
566,39240,200
567,39311,200
568,39368,200
569,39431,200
570,39496,200
571,39567,200
572,39626,200
573,39696,200
574,39755,200
575,39828,200
576,39906,200
577,39970,200
578,40046,200
579,40119,200
580,40183,200
581,40258,200
582,40331,200
583,40405,200
584,40483,200
585,40539,200
586,40605,200
587,40671,200
588,40737,200
589,40806,200
590,40864,200
591,40919,200
592,40991,200
593,41056,200
594,41119,200
595,41178,200
596,41245,200
597,41307,200
598,41374,200
599,41429,200
600,41497,200
