CMDLINE C:\Users\richi\anaconda3\envs\USDA_database\python.exe SVF_memory_profiler.py
MEM 1.574219 1642230898.3689
MEM 12.167969 1642230898.4766
MEM 20.011719 1642230898.5861
MEM 25.437500 1642230898.6959
MEM 29.894531 1642230898.8071
MEM 34.554688 1642230898.9164
MEM 39.796875 1642230899.0257
