FUNC __main__.my_func 40.4258 1642232097.4886 48.0586 1642232097.5724 0
CMDLINE C:\Users\richi\anaconda3\envs\USDA_database\python.exe memory_profiler_example.py
MEM 1.578125 1642232096.8007
MEM 13.828125 1642232096.9124
MEM 19.941406 1642232097.0222
MEM 26.410156 1642232097.1329
MEM 30.757812 1642232097.2430
MEM 35.492188 1642232097.3548
MEM 39.960938 1642232097.4642
MEM 63.871094 1642232097.5715
