CMDLINE C:\Users\richi\anaconda3\envs\pytable\python.exe SVF_memory_profiler.py
MEM 1.507812 1642230381.4471
MEM 12.308594 1642230381.5539
MEM 19.824219 1642230381.6629
MEM 25.800781 1642230381.7745
MEM 29.546875 1642230381.8842
MEM 34.503906 1642230381.9939
MEM 39.023438 1642230382.1034
