FUNC __main__.my_func 40.4453 1642231446.8940 48.0781 1642231446.9878 0
CMDLINE C:\Users\richi\anaconda3\envs\USDA_database\python.exe memory_profiler_example.py
MEM 1.578125 1642231446.1669
MEM 13.949219 1642231446.2808
MEM 20.378906 1642231446.3925
MEM 25.941406 1642231446.5022
MEM 29.871094 1642231446.6119
MEM 34.375000 1642231446.7219
MEM 39.105469 1642231446.8312
MEM 183.652344 1642231446.9429
